id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
851,The Gentlemen,7.7,6051.0,Released,2020-01-01,115171795.0,113.0,22000000.0,tt8367814,en,The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",12.7762,Criminal. Class.,"Comedy, Crime","Miramax, Toff Guy Films, Coach Films, STXfilms","United Kingdom, United States of America",English,"George Asprey, Eddie Marsan, Lyne Renee, Samuel West, McKell David, Matt Sherren, Michelle Dockery, Christopher Evangelou, Ryan Dean, Togo Igawa, Isaiah Zev, Tom Lambert, Gershwyn Eustache Jnr, Ashley McGuire, Dominic Gibbs, Luca De Massis, Tom Wu, Brittany Ashworth, Franz Drameh, Charlie Hunnam, Lily Frazer, Timothy Siddall, Jack O'Connor, Eliot Sumner, Colin Farrell, Bugzy Malone, Henry Golding, Bruce Chong, Mark Rathbone, Jason Hunjan, Sean Sagar, Jack Jones, Max Bennett, Shanu Hazzan, Chidi Ajufo, Sammy Williams, Marvin Campbell, David Garrick, Ned Campbell, Mike Bodnar, Jordan Long, Maurice Lee, Danny Griffin, Guy List, Tom Rhys Harries, Chloe Arrowsmith, Eugenia Kuzmina, Jason Lines, Jeremy Strong, James Warren, John Dagleish, Jason Wong, Russell Balogh, Steve Barnett, Andy Cheung, Matthew McConaughey, Simon Barker, Andrew Greenough, Geraldine Somerville, Will Mackay, Hugh Grant, Elle Black",Guy Ritchie,Alan Stewart,"Marn Davies, Lauren Bond, Guy Ritchie, Ivan Atkinson","Ivan Atkinson, Adam Fogelson, Andrew Golov, Matthew Anderson, Robert Simonds, Matthew McConaughey, Bob Osher, Bill Block, Guy Ritchie, Alan J. Wands",Chris Benstead,7.8,433005.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,2020,93171795.0,423.5081590909091,https://www.imdb.com/title/tt8367814/
852,Pari,6.4,48.0,Released,2018-03-02,6000000.0,135.0,2600000.0,tt7329858,hi,परी,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",0.846,Not A Fairy Tale,"Horror, Fantasy, Mystery","Clean Slate Films, KriArj Entertainment, KriArj Entertainment, KYTA Productions",India,हिन्दी,"Anshuman Jha, Dibyendu Bhattacharya, Joydeep Mukherjee, Mithu Chakrabarty, Rajat Kapoor, Ritabhari Chakraborty, Imran Rasheed, Parambrata Chatterjee, Anushka Sharma, Mansi Multani",Prosit Roy,Jishnu Bhattacharjee,"Prosit Roy, Abhishek Banerjee, Anvita Dutt, Abhishek Bhattacharya","Anushka Sharma, Karnesh Sharma",Anupam Roy,6.6,7638.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/togwv0TGqXkIA2YuYIY9VDLEkdF.jpg,2018,3400000.0,130.76923076923077,https://www.imdb.com/title/tt7329858/
853,The Fly,7.0,559.0,Released,1958-07-16,3000000.0,94.0,700000.0,tt0051622,en,The Fly,"Industrialist François Delambre is called late at night by his sister-in-law, Helene Delambre, who tells him that she has just killed her husband, André. Reluctant at first, she eventually explains to the police that André invented a matter transportation apparatus and, while experimenting on himself, a fly entered the chamber during the matter transference.",2.227,If she looked upon the horror her husband had become... she would scream for the rest of her life!,"Science Fiction, Horror, Drama","20th Century Fox, Regal Films",United States of America,"English, Français","Patricia Owens, Vincent Price, Betty Lou Gerson, Bill Clark, Charles Tannen, George Calliga, Harry Carter, David Hedison, Charles Herbert, Bess Flowers, Arthur Dulac, Franz Roehn, Herschel Graham, Herbert Marshall, Torben Meyer, George Nardelli, Kathleen Freeman, Sol Murgi, Eugene Borden",Kurt Neumann,Karl Struss,"James Clavell, George Langelaan","Kurt Neumann, Robert L. Lippert",Paul Sawtell,7.1,26792.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kXdBcDh2EbgSIf4Oo1dxKapZM2f.jpg,1958,2300000.0,328.57142857142856,https://www.imdb.com/title/tt0051622/
854,Beer for My Horses,5.1,34.0,Released,2008-08-08,666045.0,86.0,0.0,tt1178640,en,Beer for My Horses,"""Beer for My Horses"" tells the story of two best friends that work together as deputies in a small town. The two defy the Sheriff and head off on an outrageous road trip to save the protagonist's girlfriend from drug lord kidnappers.",6.527,Vigilante Justice...It's A Real Blast!,"Action, Comedy","Show Dog Productions, B4MH Productions, CMT Films",United States of America,English,"Cledus T. Judd, Mac Davis, Kate Schroeder, Sam Carrington, Lia Knight, Toby Keith, Tom Skerritt, Greg Serano, Tish Rayburn-Miller, Todd Lawson LaTourrette, Mel Tillis, Carlos Sanz, Rodney Carrington, Park Overall, Chris Browning, Claire Forlani, Heather Burns, Myk Watford, Brit Morgan, Keith Jardine, Mark Povinelli, Curtis Armstrong, David Allan Coe, Mica Roberts, Gina Gershon, Mike Miller, Sarah Wilson, Emelie O'Hara, Ted Nugent, Chad Brummett, April Garcia, Willie Nelson, Beth Bailey, Christopher Cade, Ray Aguayo, Barry Corbin",Michael Salomon,Paul Elliott,"Toby Keith, Rodney Carrington","Toby Keith, Donald Zuckerman, Leslie Belzberg, T.K. Kimbrell",Jeff Cardoni,4.8,1993.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gnoFSrEV0RGCVUjgcNacLRla5qk.jpg,2008,666045.0,0.0,https://www.imdb.com/title/tt1178640/
855,The Limey,6.5,431.0,Released,1999-10-08,3204663.0,89.0,10000000.0,tt0165854,en,The Limey,"The Limey follows Wilson, a tough English ex-con who travels to Los Angeles to avenge his daughter's death. Upon arrival, Wilson goes to task battling Valentine and an army of L.A.'s toughest criminals, hoping to find clues and piece together what happened. After surviving a near-death beating, getting thrown from a building and being chased down a dangerous mountain road, the Englishman decides to dole out some bodily harm of his own.",11.655,Tell them I'm coming,"Crime, Drama, Thriller, Mystery",Artisan Entertainment,United States of America,English,"Nicky Katt, Lesley Ann Warren, Rainbow Borden, David Ward, Johnny Sanchez, Brian Bennet, Michaela Gallo, Joe Dallesandro, Carl Ciarfalio, Luis Guzmán, Jose Perez, Carol White, Peter Fonda, Ousaun Elam, Wayne Pére, Tom Pardoe, Clement Blake, Dwayne McGee, John Robotham, Steve Heinze, James Earl Olmedo, Matthew Kimbrough, Alex Perez, Eva Rodriguez, William Lucking, Melissa George, Brooke Marie Bridges, Terence Stamp, Brandon Keener, Nancy Lenehan, Jim Jenkins, Mark Gerschwin, Bill Duke, Lincoln Simonds, Barry Newman, John Cothran, Allan Graf, George Marshall Ruge, Amelia Heinle, Jamie Lin Olmedo, Randy Lowell",Steven Soderbergh,Edward Lachman,Lem Dobbs,"John Hardy, Scott Kramer",Cliff Martinez,6.9,36347.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/efAnFInZYrenNvBlLIXN2oLYyNc.jpg,1999,0.0,0.0,https://www.imdb.com/title/tt0165854/
856,Pathaan,6.5,203.0,Released,2023-01-25,130000000.0,146.0,29000000.0,tt12844910,hi,पठान,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",5.0741,There is a storm coming. Fasten your seatbelt.,"Action, Adventure, Thriller","Yash Raj Films, Pathaan Productions, Palma Pictures, FPS Productions, NSA Picture, ODU Movies","India, Italy, Spain, Turkey",हिन्दी,"Mirko Quaini, Bashir Lone, Serafima Zhukova, Andrei Blitznetsov, Mansi Taxak, Rakesh Khatri, Prakash Belawadi, Grace Girdhar, Jeffrey Goldberg, Mustafa Aksari, Nikolay Novomlinsky, Ashutosh Singh, Aritro Rudraneil Banerjee, Stanislav Iurovskikh, Jayna Ruchandani, Jerry Ezeh, Guneet Sharma, Salman Khan, Amanpreet Hundal, Dmitri Ivanov, Ashutosh Rana, Christopher James Collins, Ankita Mandlik, Artur Dorogovenko, Emmanuel Chinwuba, Karishma Singh, Viraf Patel, Ruslan Raisovich Mustafin, Jyantino Albuquerque, Prashant Makwana, Nikhat Khan, John Abraham, Nishi Yadav, Neil Pednekar, Manish Wadhwa, Amrita Mishra, Rumi Khan, Alexander Stepikov, UmarJaum, Aishwarya Shetty, Rajat Kaul, Jairoop Jeevan, Rachel Mullins, Sergey Andreevich Hramov, Dimple Kapadia, Diganta Hazarika, Renata Puppin, Keith Sequeira, Shaji Choudhary, Ekta Kaul, Prem Jhangiani, Shah Rukh Khan, Deepika Padukone, Akash Bhatija",Siddharth Anand,Satchith Paulose,"Kumaar, Abbas Tyrewala, Shridhar Raghavan, Siddharth Anand","Aditya Chopra, Padam Bhushan","Sanchit Balhara, Vishal Dadlani, Ankit Balhara, Shekhar Ravjiani",5.8,160707.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cQOuFy19m0B8kpui7enCthaI8rP.jpg,2023,101000000.0,348.2758620689655,https://www.imdb.com/title/tt12844910/
857,Honky Tonk Freeway,5.2,23.0,Released,1981-08-21,939423.0,107.0,24000000.0,tt0082525,en,Honky Tonk Freeway,"Ticlaw, a small town in Florida, has only one attraction: a safari park. The government constructs a freeway that passes near Ticlaw, but decides not to put an exit into the town. The people of Ticlaw, leaded by its Mayor, will do anything in order to convince the governor to alter the project.",3.4269,Something funny is happening on this freeway.,Comedy,"Honky Tonk Freeway Company, Kendon Films, EMI Films, Universal Pictures, Associated Film Distribution","United Kingdom, United States of America",English,"Frances Bay, Frances Lee McCain, Kimiko Hiroshige, Beau Bridges, George Dzundza, Ann Risley, Paul Jabara, Daniel Stern, Jessica Rains, David Rasche, Kelly Lange, Beverly D'Angelo, Kent Williams, Celia Weston, Renny Roker, Arnold Johnson, John C. Becher, Nancy Parsons, Shane Keller, William Devane, James Staley, Hume Cronyn, Howard Hesseman, Loretta Tupper, Joe Grifasi, Deborah Rush, Shelly Batt, Jason D. Keller, Jessica Tandy, Helen Hanft, Teri Garr, Geraldine Page, Ann Coleman, Rollin Moriyama, Alice Beardsley, Peter Billingsley, John Ashton, Davis Roberts, Ron Frazier",John Schlesinger,John Bailey,Edward Clinton,"Don Boyd, Hawk Koch","Elmer Bernstein, George Martin",5.2,1265.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hfwhYVNOlYsA05G4c3c08UuRLIS.jpg,1981,0.0,0.0,https://www.imdb.com/title/tt0082525/
858,Yeh Jawaani Hai Deewani,7.2,266.0,Released,2013-05-31,46000000.0,160.0,7700000.0,tt2178470,hi,ये जवानी है दीवानी,"On a trekking trip, an introverted Naina falls for a charming ex-classmate, whose thirst for adventure drives them apart. Years later, their paths cross again.",3.533,one cannot be wise and old without being young and crazy,"Romance, Comedy","Dharma Productions, UTV Motion Pictures, Eros International",India,हिन्दी,"Deepika Padukone, Tanvi Azmi, Evelyn Sharma, Kalki Koechlin, Naveen Kaushik, Kunaal Roy Kapur, Punya Darshan Gupta, Aditya Roy Kapur, Anisa Butt, Farooq Shaikh, Rana Daggubati, Poorna Jagannathan, Madhuri Dixit, Ranbir Kapoor",Ayan Mukerji,V. Manikandan,"Ayan Mukerji, Amitabh Bhattacharya, Hussain Dalal","Karan Johar, Marijke deSouza, Hiroo Johar",Pritam Chakraborty,7.3,55044.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/em39H81XLCDgXsI7V4IcBZseEO6.jpg,2013,38300000.0,497.4025974025974,https://www.imdb.com/title/tt2178470/
859,Teen Witch,6.1,171.0,Released,1989-04-28,27843.0,94.0,0.0,tt0098453,en,Teen Witch,Louise is not very popular at her highschool. Then she learns that she's descended from the witches of Salem and has inherited their powers. At first she uses them to get back at the girls and teachers who teased her and to win the heart of the handsome footballer's captain. But soon she has doubts if it's right to 'cheat' her way to popularity.,0.9668,Fall under her spell.,"Comedy, Fantasy, Romance",Trans World Entertainment,United States of America,English,"Cherie Franklin, Noah Blake, Marcia Wallace, Dick Sargent, Ponti Lambros, Joshua John Miller, Jared Chandler, Zelda Rubinstein, Alsari Al-Shehali, Amanda Ingber, Wendy Brainard, Kevin Best, Cindy Valentine Leone, Alexana Lambros, Tina Caspary, Robyn Lively, Ralph Baker, Dan Gauthier, Megan Gallivan, Shelley Berman, Caren Kaye, Tona Dodd, Lisa Fuller, Darcy DeMoss, Brett Baxter Clark, Alana H. Lambros, Lawrence Raymond Banister, Gary Schwartz",Dorian Walker,Marc Reshovsky,"Vernon Zimmerman, Robin Menken","Eduard Sarlui, Rafael Eisenman, Alana H. Lambros, Moshe Diamant",Richard Elliot,6.0,11262.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/51A71crqobviJRX2Ktl7JVROwdv.jpg,1989,27843.0,0.0,https://www.imdb.com/title/tt0098453/
860,Real Steel,7.0,8537.0,Released,2011-09-28,299300000.0,127.0,110000000.0,tt0433035,en,Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",16.6586,Courage is stronger than steel.,"Action, Science Fiction, Drama","DreamWorks Pictures, Reliance Entertainment, 21 Laps Entertainment, Montford / Murphy Productions","United States of America, India",English,"Alan D. Purwin, Brad Leo Lyon, Ken Alter, Julian Gant, Leilani Barrett, Ricky Wayne, Jojuan Westmoreland, Peter Carey, Chris Newman, Anthony Mackie, Mary Magyari, Clark Birchmeier, Ron Causey, Gregory Sims, Wayne E. Brown, J.J. Green, Evangeline Lilly, Megan Grant, Anton Narinskiy, Phil LaMarr, Ben Hernandez Bray, Mike Ancrile, Dwight Sora, Wendy Paquette, Kirstie Munoz, Rima Fakih, Dakota Goyo, Kef Lee, Amanda Bright, Olga Fonda, Taris Tyler, Miguel Sandoval, Tim Holmes, Joshua Ray Bell, Logan Fry, Kevin Durand, John Manfredi, James Rebhorn, Hugh Jackman, Leah Barkoff, Jahnel Curfman, Torey Adkins, Richard Goteri, Karl Yune, Johnny Flynn, David Alan Basche, D.B. Dickerson, John Gatins, Dan Lemieux, Kevin Dorman, Justin Calkins, Sophie Levy, Shane Hagedorn, Hope Davis, Gary T. Jones, Megan Mockensturm, Tess Levy, John Hawkinson",Shawn Levy,Mauro Fiore,"John Gatins, Jeremy Leven, Dan Gilroy, Richard Matheson","Susan Montford, Mary McLaglen, Steven Spielberg, Shawn Levy, Don Murphy, Steve Starkey, Josh McLaglen, Jack Rapke, Robert Zemeckis",Danny Elfman,7.1,370231.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,2011,189300000.0,172.0909090909091,https://www.imdb.com/title/tt0433035/
861,If Lucy Fell,5.1,49.0,Released,1996-03-08,2420162.0,92.0,5000000.0,tt0116606,en,If Lucy Fell,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable romances within a month, they must jump off the Brooklyn Bridge.",5.982,A comedy for the romantically challenged.,"Comedy, Romance","TriStar Pictures, Motion Picture Corporation of America",United States of America,"English, Italiano","Bill Sage, Ben Stiller, Robert John Burke, Scarlett Johansson, Dominic Chianese, Lisa Gerstein, David Thornton, James Rebhorn, Elle Macpherson, Sarah Jessica Parker, Emily Hart, Michael Storms, Jason Myers, Eric Schaeffer",Eric Schaeffer,Ron Fortunato,Eric Schaeffer,"Bradley Jenkel, Brad Krevoy, Steven Stabler","Charlton Pettus, Amanda Kravat",4.9,4406.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/l3Bwmjdon6JBDzJUA3ZSdMZZ7lI.jpg,1996,0.0,0.0,https://www.imdb.com/title/tt0116606/
862,The Proposition,7.0,647.0,Released,2005-10-06,5048693.0,104.0,2000000.0,tt0421238,en,The Proposition,"In 1880s Australia, a lawman offers renegade Charlie Burns a difficult choice. In order to save his younger brother from the gallows, Charlie must hunt down and kill his older brother, who is wanted for rape and murder. Venturing into one of the Outback's most inhospitable regions, Charlie faces a terrible moral dilemma that can end only in violence.",1.7998,This land will be civilized.,"Action, Adventure, Crime, Drama, Thriller, Western","UK Film Council, Surefire Film Productions, Autonomous, Pictures in Paradise, Jackie O Productions, Pacific Film and Television Commission, Film Consortium, National Lottery","Australia, United Kingdom",English,"Daniel Parker, Noah Taylor, Boris Brkic, Oliver Ackland, Carl Rush, Ray Winstone, Mick Roughan, Bryan Probets, Richard Wilson, Tom Budge, Robert Morgan, Lance Medlin, Tom E. Lewis, Jae Mamuyac, David Wenham, Gary Waddell, Jeremy Madrona, Sue Dwyer, Ned Rose, Jerry Solomon, Bogdan Koca, Guy Pearce, Iain Gardiner, Emily Watson, David Vallon, Danny Huston, David Gulpilil, Max Age, John Hurt, Ralph Cotterill, Shane Watt, Leah Purcell, Rodney Boschman",John Hillcoat,Benoît Delhomme,"Geoffrey Cox, Nick Cave","Sara Giles, Michael Henry, Norman Humphrey, Robert Jones, Michael Hamlyn, Chiara Menage, Cat Villiers, Jackie O'Sullivan, James Atherton, Chris Brown, Chris Auty","Warren Ellis, Nick Cave",7.3,56454.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bbSHSJuO5XjrIKMh6QXXLTg3Yzr.jpg,2005,3048693.0,152.43465,https://www.imdb.com/title/tt0421238/
863,Double Team,5.2,774.0,Released,1997-04-04,48138337.0,93.0,30000000.0,tt0119013,en,Double Team,"A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world.",5.3218,They don't play by the rules.,"Action, Science Fiction","Columbia Pictures, Mandalay Entertainment, Film Workshop, One Story Pictures","Hong Kong, United States of America",English,"Valéria Cavalli, William Dunn, Ottaviano Dell'Acqua, Paolo Calissano, Patrick Cauderlier, Jesse Joe Walsh, Jean-Pierre Stewart, Eric Gauchy, Angelo Ragusa, Dennis Rodman, Alexander Koumpan, Dominic Gould, Peter Nelson, Adam Kaci, Paul Freeman, Mickey Rourke, Nathalie Grac, Ken Samuels, Mario Opinato, Xiong Xinxin, Gabriella D'Olive, Joelle Devaux-Vullion, Jay Benedict, Cyrille Dufaut, Pascaline Girardot, Malick Bowens, Hans Meyer, Grant Russell, Nick Brett, Frederick Renard, Jean-Claude Van Damme, Sandy Welch, Jessica Forde, Natacha Lindinger, Asher Tzarfati, Pascal Lopez, Rob Diem, Ted Rusoff, Paolo Paoloni, Umberto Raho, Dominique Fouassier, Sigal Diamant, Orso Maria Guerrini, Bruno Bilotta",Tsui Hark,Peter Pau Tak-Hai,"Paul Mones, Don Jakoby","David Rodgers, Moshe Diamant, Don Jakoby",Gary Chang,4.8,37777.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tUzF2S15iX4Hn6ikbFX1YP3SDEQ.jpg,1997,18138337.0,60.46112333333333,https://www.imdb.com/title/tt0119013/
864,They Live,7.3,3146.0,Released,1988-11-04,13000000.0,93.0,4000000.0,tt0096256,en,They Live,A lone drifter stumbles upon a unique pair of sunglasses that reveal aliens are systematically gaining control of the Earth by masquerading as humans and lulling the public into submission.,8.9699,You see them on the street. You watch them on TV. You might even vote for one this fall. You think they're people just like you. You're wrong. Dead wrong.,"Science Fiction, Action","Alive Films, Larry Franco Productions, Universal Pictures",United States of America,English,"Meg Foster, Roddy Piper, Jon Paul Jones, Vince Inneo, Michelle Costello, Dennis Michael, Claudia Stanlee, Jim Nickerson, John Lawrence, George Buck Flower, John Carpenter, Lucille Meredith, Susan Barnes, Robert V. Greene, Cibby Danyla, Gunnar Magg, Jason Robards III, Susan Blanchard, Dana Bratton, Jeb Stuart Adams, Nancy Gee, Peter Jason, John F. Goff, Matt McColm, Sy Richardson, Al Leong, Eileen Wesson, Keith David, Larry Franco, Christine Anne Baur, Wendy Brainard, Tom Searle, Tommy Morrison, Jennifer Austin, Bob Hudson, Michael Forino, Robert Grasmere, Rezza Shan, Thelma Lee, Norman Alden, Stratton Leopold, Raymond St. Jacques, Kerry Rossall, Norman Howell, Helen Kelly, Gregory J. Barnett, Norman D. Wilson, Jeff Imada",John Carpenter,Gary B. Kibbe,"John Carpenter, Ray Nelson","Shep Gordon, Larry Franco, Andre Blay","John Carpenter, Alan Howarth",7.2,154478.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eIEmSJRKe8Vn9iWcFypvbeyQaZZ.jpg,1988,9000000.0,225.0,https://www.imdb.com/title/tt0096256/
865,Lars and the Real Girl,7.2,1878.0,Released,2007-10-12,11293663.0,106.0,12000000.0,tt0805564,en,Lars and the Real Girl,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",8.3475,The search for true love begins outside the box.,"Comedy, Drama, Romance","Sidney Kimmel Entertainment, Lars Productions",United States of America,"English, Español","Liz Gordon, Paul Schneider, Joshua Peace, Tannis Burnett, R.D. Reid, Tommy Chang, Maxwell McCabe-Lokos, Ryan Gosling, Aurora Browne, Danna Howe, Nancy Beatty, Liisa Repo-Martell, Torquil Colbo, Karen Robinson, Kelli Garner, Emily Mortimer, Billy Parrott, Sally Cahill, Víctor Gómez, Arnold Pinnock, Nicky Guadagni, Boyd Banks, Alec McClure, Aaron Ferguson, Angela Vint, Annabelle Torsein, Patricia Clarkson, Lauren Ash, Joe Bostick, Tim Blake, Lindsey Connell, Darren Hynes, Doug Lennox",Craig Gillespie,Adam Kimmel,Nancy Oliver,"Whitney Brown, Bruce Toll, John Cameron, William Horberg, Sarah Aubrey, Sidney Kimmel, Peter Berg",David Torn,7.3,162011.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nkAt4a7KIPc7Fi1BhxNHhYYbe2b.jpg,2007,0.0,0.0,https://www.imdb.com/title/tt0805564/
866,The Object of Beauty,5.3,37.0,Released,1991-04-12,5136192.0,103.0,0.0,tt0102573,en,The Object of Beauty,"American couple Jake and Tina are living in an expensive London hotel above their means, incurring a sizeable debt. When they are asked to pay a lavish dinner bill and Jake's card is declined, he suggests they sell Tina's tiny, expensive Henry Moore sculpture to cover the debt. After they hatch a scheme to claim the sculpture was stolen in order to collect insurance on it, the sculpture mysteriously goes missing.",0.5501,Love is more than dollars and sex.,"Drama, Comedy, Crime","Avenue Pictures, BBC, Avenue Entertainment, BBC Film","United Kingdom, United States of America",English,"Andie MacDowell, Bill Paterson, Richard Ireson, Lolita Davidovich, Rosemary Martin, Peter Riegert, Ricci Harnett, Pip Torrens, Barry Gordon, Joss Ackland, Annie Hayes, Rudi Davies, Roger Lloyd Pack, Andrew Hawkins, John Malkovich, Jeremy Sinden, Stephen Churchett, Jack Shepherd",Michael Lindsay-Hogg,David Watkin,Michael Lindsay-Hogg,"Jon S. Denny, Cary Brokaw, Alex Gohar",Tom Bähler,5.6,2398.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vtxTzSrjCDH7Ray4RK8FPUrrlSy.jpg,1991,5136192.0,0.0,https://www.imdb.com/title/tt0102573/
867,Hercules,5.783,4136.0,Released,2014-07-23,244819862.0,98.0,100000000.0,tt1267297,en,Hercules,"When a new enemy threatens the innocent, Hercules must lead his fearless team of warriors in a battle against overwhelming odds.",7.7722,"Before he was a legend, he was a man.","Action, Adventure","Paramount Pictures, Radical Studios, Flynn Picture Company, Metro-Goldwyn-Mayer",United States of America,English,"Irina Shayk, Nóra Lili Hörich, Sydney van den Bosch, Erika Lajos, Anna Skidanova, Kristina Starostina, Elena V. Holovcsak, Anna Zsíros, Tom Doherty, Lilla Bozoki, Matt Devere, Máté Haumann, Christopher Fairbank, Aden G. Wright, Ian Whyte, Joseph Fiennes, Mark Phelan, Oliver Doherty, Shay Sabag, Ian McShane, Karolina Szymczak, Dalma Lörincz, Lilla Babos, Dorottya Podmaniczky, John Hurt, Caroline Boulton, Judit Viktor, Benjamin Blankenship, Dora Kanizsa, Peter Mullan, Athina Papadimitriu, Erika Marozsán, Jean Pigozzi, Stephen Peacocke, Tamas Csernus, Tonia Sotiropoulou, Tímea Vajna, Patricia Hegedus, Nicholas Moss, Dwayne Johnson, Rufus Sewell, Barbara Palvin, John Cross, Robert Maillet, Joe Anderson, Anna Trokán, Ingrid Bolsø Berdal, Reece Ritchie, Peter Ivanyi, Aksel Hennie, Rebecca Ferguson, Csilla Baksa, Petra Piringer, Tobias Santelmann, Erik Orgovan, Isaac Andrews, Robert Whitelock, Kovács Panka",Brett Ratner,Dante Spinotti,"Evan Spiliotopoulos, Ryan Condal","Brett Ratner, Peter Berg, Sarah Aubrey, Ross T. Fanger, Jesse Berger, Barry Levine, Beau Flynn",Fernando Velázquez,6.0,168139.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5X3VOy9lD44VclKsWTi8gHZGjhL.jpg,2014,144819862.0,144.819862,https://www.imdb.com/title/tt1267297/
868,Wuthering Heights,6.2,38.0,Released,1970-06-09,4500000.0,104.0,800000.0,tt0066585,en,Wuthering Heights,"A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.",0.5744,"The power, the passion, the terror of Emily Bronte's immortal story of young love.","Drama, Romance",American International Pictures,United Kingdom,English,"Gillian Hayes, Julian Glover, Bruce Beeby, Gertan Klauber, Keith Buckley, Sandra Bryant, John Comer, Libby Granger, Rosalie Crutchley, Dudley Foster, Morag Hood, Hugh Griffith, Ian Ogilvy, Gordon Gostelow, Pamela Brown, Peter Sallis, Aubrey Woods, Harry Andrews, Jonathan Brewster, Judy Cornwell, Hilary Dwyer, Mark Wilding, James Berwick, James Cossins, Timothy Dalton, Wendy Allnutt, Anna Calder-Marshall, Patricia Doyle, Lois Daine",Robert Fuest,John Coquillon,"Emily Brontë, Patrick Tilley","Louis M. Heyward, James H. Nicholson, Samuel Z. Arkoff",Michel Legrand,6.3,2275.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gOK1fb5nvk6IXTRmOr1pPsNr8Zu.jpg,1970,3700000.0,462.5,https://www.imdb.com/title/tt0066585/
869,The Golden Child,5.913,1097.0,Released,1986-12-12,79817939.0,94.0,25000000.0,tt0091129,en,The Golden Child,"After a Tibetan boy, the mystical Golden Child, is kidnapped by the evil Sardo Numspa, humankind's fate hangs in the balance. On the other side of the world in Los Angeles, the priestess Kee Nang seeks the Chosen One, who will save the boy from death. When Nang sees social worker Chandler Jarrell on television discussing his ability to find missing children, she solicits his expertise, despite his skepticism over being ""chosen.""",2.6329,Eddie Murphy is the chosen one.,"Action, Adventure, Comedy","Eddie Murphy Productions, Feldman/Meeker Productions, Paramount Pictures",United States of America,"普通话, English, ","Gene LeBell, Victor Wong, Charlotte Lewis, Shakti Chen, Eddie Murphy, Masanori Toguchi, Wally Taylor, Charles Levin, Eric Douglas, Charles Dance, Tau Logo, Frank Welker, Pons Maar, J.L. Reate, James Hong, Peter Kwong, Randall ""Tex"" Cobb",Michael Ritchie,Donald E. Thorin,Dennis Feldman,"Robert D. Wachs, Eddie Murphy, Edward S. Feldman, Charles R. Meeker, Richard Tienken",Michel Colombier,6.0,61621.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/9gPphtcGmna90U9CEsWlUVaSkAw.jpg,1986,54817939.0,219.271756,https://www.imdb.com/title/tt0091129/
